Date,PX_BID,PX_LAST
24/11/2023,0.777,0.777
23/11/2023,0.725,0.725
22/11/2023,0.725,0.725
21/11/2023,0.703,0.703
20/11/2023,0.75,0.75
17/11/2023,0.756,0.756
16/11/2023,0.791,0.791
15/11/2023,0.802,0.802
14/11/2023,0.862,0.862
13/11/2023,0.871,0.871
10/11/2023,0.85,0.85
9/11/2023,0.838,0.838
8/11/2023,0.857,0.857
7/11/2023,0.884,0.884
6/11/2023,0.883,0.883
3/11/2023,0.926,0.926
2/11/2023,0.926,0.926
1/11/2023,0.961,0.961
31/10/2023,0.947,0.947
30/10/2023,0.892,0.892
27/10/2023,0.881,0.881
26/10/2023,0.875,0.875
25/10/2023,0.859,0.859
24/10/2023,0.851,0.851
23/10/2023,0.877,0.877
20/10/2023,0.842,0.842
19/10/2023,0.84,0.84
18/10/2023,0.809,0.809
17/10/2023,0.781,0.781
16/10/2023,0.761,0.761
13/10/2023,0.761,0.761
12/10/2023,0.758,0.758
11/10/2023,0.769,0.769
10/10/2023,0.783,0.783
9/10/2023,0.805,0.805
6/10/2023,0.805,0.805
5/10/2023,0.812,0.812
4/10/2023,0.809,0.809
3/10/2023,0.767,0.767
2/10/2023,0.777,0.777
29/9/2023,0.765,0.765
28/9/2023,0.761,0.761
27/9/2023,0.741,0.741
26/9/2023,0.741,0.741
25/9/2023,0.736,0.736
22/9/2023,0.746,0.746
21/9/2023,0.743,0.743
20/9/2023,0.727,0.727
19/9/2023,0.718,0.718
18/9/2023,0.715,0.715
15/9/2023,0.715,0.715
14/9/2023,0.716,0.716
13/9/2023,0.713,0.713
12/9/2023,0.711,0.711
11/9/2023,0.709,0.709
8/9/2023,0.655,0.655
7/9/2023,0.657,0.657
6/9/2023,0.66,0.66
5/9/2023,0.658,0.658
4/9/2023,0.644,0.644
1/9/2023,0.633,0.633
31/8/2023,0.651,0.651
30/8/2023,0.652,0.652
29/8/2023,0.653,0.653
28/8/2023,0.664,0.664
25/8/2023,0.661,0.661
24/8/2023,0.656,0.656
23/8/2023,0.674,0.674
22/8/2023,0.666,0.666
21/8/2023,0.649,0.649
18/8/2023,0.635,0.635
17/8/2023,0.646,0.646
16/8/2023,0.63,0.63
15/8/2023,0.632,0.632
14/8/2023,0.612,0.612
11/8/2023,0.584,0.584
10/8/2023,0.584,0.584
9/8/2023,0.584,0.584
8/8/2023,0.61,0.61
7/8/2023,0.63,0.63
4/8/2023,0.649,0.649
3/8/2023,0.653,0.653
2/8/2023,0.628,0.628
1/8/2023,0.607,0.607
31/7/2023,0.612,0.612
28/7/2023,0.568,0.568
27/7/2023,0.45,0.45
26/7/2023,0.455,0.455
25/7/2023,0.466,0.466
24/7/2023,0.463,0.463
21/7/2023,0.45,0.45
20/7/2023,0.467,0.467
19/7/2023,0.466,0.466
18/7/2023,0.48,0.48
17/7/2023,0.481,0.481
14/7/2023,0.481,0.481
13/7/2023,0.475,0.475
12/7/2023,0.474,0.474
11/7/2023,0.459,0.459
10/7/2023,0.462,0.462
7/7/2023,0.428,0.428
6/7/2023,0.414,0.414
5/7/2023,0.392,0.392
4/7/2023,0.386,0.386
3/7/2023,0.405,0.405
30/6/2023,0.401,0.401
29/6/2023,0.391,0.391
28/6/2023,0.389,0.389
27/6/2023,0.374,0.374
26/6/2023,0.361,0.361
23/6/2023,0.369,0.369
22/6/2023,0.379,0.379
21/6/2023,0.382,0.382
20/6/2023,0.393,0.393
19/6/2023,0.4,0.4
16/6/2023,0.412,0.412
15/6/2023,0.429,0.429
14/6/2023,0.431,0.431
13/6/2023,0.425,0.425
12/6/2023,0.431,0.431
9/6/2023,0.427,0.427
8/6/2023,0.438,0.438
7/6/2023,0.427,0.427
6/6/2023,0.426,0.426
5/6/2023,0.434,0.434
2/6/2023,0.414,0.414
1/6/2023,0.424,0.424
31/5/2023,0.436,0.436
30/5/2023,0.435,0.435
29/5/2023,0.441,0.441
26/5/2023,0.421,0.421
25/5/2023,0.427,0.427
24/5/2023,0.414,0.414
23/5/2023,0.404,0.404
22/5/2023,0.393,0.393
19/5/2023,0.398,0.398
18/5/2023,0.382,0.382
17/5/2023,0.37,0.37
16/5/2023,0.397,0.397
15/5/2023,0.407,0.407
12/5/2023,0.391,0.391
11/5/2023,0.398,0.398
10/5/2023,0.425,0.425
9/5/2023,0.426,0.426
8/5/2023,0.418,0.418
5/5/2023,0.421,0.421
4/5/2023,0.421,0.421
