Date,PX_BID,PX_LAST
24/11/2023,-0.07,-0.07
23/11/2023,-0.07,-0.07
22/11/2023,-0.07,-0.07
21/11/2023,-0.07,-0.07
20/11/2023,-0.07,-0.07
17/11/2023,-0.07,-0.07
16/11/2023,-0.06,-0.06
15/11/2023,-0.06,-0.06
14/11/2023,-0.07,-0.07
13/11/2023,-0.07,-0.07
10/11/2023,-0.07,-0.07
9/11/2023,-0.07,-0.07
8/11/2023,-0.07,-0.07
7/11/2023,-0.07,-0.07
6/11/2023,-0.096,-0.096
3/11/2023,-0.096,-0.096
2/11/2023,-0.096,-0.096
1/11/2023,-0.05,-0.05
31/10/2023,-0.054,-0.054
30/10/2023,-0.054,-0.054
27/10/2023,-0.054,-0.054
26/10/2023,-0.054,-0.054
25/10/2023,-0.054,-0.054
24/10/2023,-0.054,-0.054
23/10/2023,-0.05,-0.05
20/10/2023,-0.05,-0.05
19/10/2023,-0.05,-0.05
18/10/2023,-0.1,-0.1
17/10/2023,-0.1,-0.1
16/10/2023,-0.1,-0.1
13/10/2023,-0.095,-0.095
12/10/2023,-0.095,-0.095
11/10/2023,-0.095,-0.095
10/10/2023,-0.095,-0.095
9/10/2023,-0.095,-0.095
6/10/2023,-0.095,-0.095
5/10/2023,-0.095,-0.095
4/10/2023,-0.095,-0.095
3/10/2023,-0.095,-0.095
2/10/2023,-0.095,-0.095
29/9/2023,-0.09,-0.09
28/9/2023,-0.09,-0.09
27/9/2023,-0.081,-0.081
26/9/2023,-0.07,-0.07
25/9/2023,-0.064,-0.064
22/9/2023,-0.064,-0.064
21/9/2023,-0.054,-0.054
20/9/2023,-0.044,-0.044
19/9/2023,-0.039,-0.039
18/9/2023,-0.07,-0.07
15/9/2023,-0.07,-0.07
14/9/2023,-0.07,-0.07
13/9/2023,-0.07,-0.07
12/9/2023,-0.07,-0.07
11/9/2023,-0.07,-0.07
8/9/2023,-0.1,-0.1
7/9/2023,-0.1,-0.1
6/9/2023,-0.1,-0.1
5/9/2023,-0.1,-0.1
4/9/2023,-0.1,-0.1
1/9/2023,-0.1,-0.1
31/8/2023,-0.1,-0.1
30/8/2023,-0.097,-0.097
29/8/2023,-0.097,-0.097
28/8/2023,-0.092,-0.092
25/8/2023,-0.092,-0.092
24/8/2023,-0.085,-0.085
23/8/2023,-0.079,-0.079
22/8/2023,-0.079,-0.079
21/8/2023,-0.079,-0.079
18/8/2023,-0.07,-0.07
17/8/2023,-0.065,-0.065
16/8/2023,-0.12,-0.12
15/8/2023,-0.12,-0.12
14/8/2023,-0.12,-0.12
10/8/2023,-0.12,-0.12
9/8/2023,-0.12,-0.12
8/8/2023,-0.12,-0.12
7/8/2023,-0.12,-0.12
4/8/2023,-0.12,-0.12
3/8/2023,-0.12,-0.12
2/8/2023,-0.12,-0.12
1/8/2023,-0.12,-0.12
31/7/2023,-0.12,-0.12
28/7/2023,-0.12,-0.12
27/7/2023,-0.12,-0.12
26/7/2023,-0.122,-0.122
25/7/2023,-0.122,-0.122
24/7/2023,-0.122,-0.122
21/7/2023,-0.122,-0.122
20/7/2023,-0.122,-0.122
19/7/2023,-0.122,-0.122
18/7/2023,-0.15,-0.15
14/7/2023,-0.15,-0.15
13/7/2023,-0.15,-0.15
12/7/2023,-0.15,-0.15
11/7/2023,-0.15,-0.15
10/7/2023,-0.15,-0.15
7/7/2023,-0.15,-0.15
6/7/2023,-0.15,-0.15
5/7/2023,-0.15,-0.15
