Date,PX_LAST,PX_MID
30/9/2023,7514181.29,7514181.29
30/6/2023,5192267.52,5192267.52
31/3/2023,2412254.19,2412254.19
31/12/2022,1632781.24,1632781.24
30/9/2022,2135963.19,2135963.19
30/6/2022,2087094.63,2087094.63
31/3/2022,4858596.19,4858596.19
31/12/2021,3605088.28,3605088.28
30/9/2021,6086200.48,6086200.48
30/6/2021,5545740.35,5545740.35
31/3/2021,6248118.4,6248118.4
31/12/2020,4907421.33,4907421.33
30/9/2020,4897444.85,4897444.85
30/6/2020,892935.12,892935.12
31/3/2020,5293866.74,5293866.74
31/12/2019,3504036.69,3504036.69
30/9/2019,5485178.95,5485178.95
30/6/2019,4388153.3,4388153.3
31/3/2019,5873928.54,5873928.54
31/12/2018,2670870.2,2670870.2
30/9/2018,5813137.67,5813137.67
30/6/2018,5025768.91,5025768.91
31/3/2018,5994919.14,5994919.14
31/12/2017,4349758.58,4349758.58
30/9/2017,7253108.03,7253108.03
30/6/2017,4801712.08,4801712.08
31/3/2017,6373346.18,6373346.18
31/12/2016,4258444.4,4258444.4
30/9/2016,6146382.37,6146382.37
30/6/2016,4898970.87,4898970.87
31/3/2016,6087157.4,6087157.4
31/12/2015,3305493.15,3305493.15
30/9/2015,4991123.54,4991123.54
30/6/2015,3911888.55,3911888.55
31/3/2015,4310899.14,4310899.14
31/12/2014,1575908.38,1575908.38
30/9/2014,1960749.13,1960749.13
30/6/2014,855552.06,855552.06
31/3/2014,-470702.38,-470702.38
31/12/2013,-1017966.68,-1017966.68
30/9/2013,1747319.71,1747319.71
30/6/2013,2134235.86,2134235.86
31/3/2013,1592988.07,1592988.07
31/12/2012,-43516.1,-43516.1
30/9/2012,1567802.13,1567802.13
30/6/2012,1132229.86,1132229.86
31/3/2012,2107453.43,2107453.43
31/12/2011,935334.92,935334.92
30/9/2011,3338478.31,3338478.31
30/6/2011,1803899.31,1803899.31
31/3/2011,4323581.9,4323581.9
31/12/2010,4113779.81,4113779.81
30/9/2010,5455381.67,5455381.67
30/6/2010,4375965.47,4375965.47
31/3/2010,5437627.91,5437627.91
31/12/2009,3837613.81,3837613.81
30/9/2009,4260987.66,4260987.66
30/6/2009,3218833.1,3218833.1
31/3/2009,2275098.36,2275098.36
31/12/2008,1408891.13,1408891.13
30/9/2008,3695394.02,3695394.02
30/6/2008,3309135.89,3309135.89
31/3/2008,6465195.55,6465195.55
31/12/2007,5390777.15,5390777.15
30/9/2007,6858949.84,6858949.84
30/6/2007,5622646.62,5622646.62
31/3/2007,7076611.62,7076611.62
31/12/2006,5203399.1,5203399.1
30/9/2006,5456421.94,5456421.94
30/6/2006,4150040.66,4150040.66
31/3/2006,5520863.64,5520863.64
31/12/2005,4793422.98,4793422.98
30/9/2005,4847395.47,4847395.47
30/6/2005,4251071.48,4251071.48
31/3/2005,4835796.47,4835796.47
31/12/2004,4451275.07,4451275.07
30/9/2004,5101622.07,5101622.07
30/6/2004,4845487.72,4845487.72
31/3/2004,5295697.47,5295697.47
31/12/2003,4113507.07,4113507.07
30/9/2003,4608929.48,4608929.48
30/6/2003,3812339.05,3812339.05
31/3/2003,3590625.49,3590625.49
31/12/2002,2902256.94,2902256.94
30/9/2002,3282167.56,3282167.56
30/6/2002,3369819.39,3369819.39
31/3/2002,4129407.9,4129407.9
31/12/2001,2498969.41,2498969.41
30/9/2001,2611599.52,2611599.52
30/6/2001,2159842.78,2159842.78
31/3/2001,3181996.87,3181996.87
31/12/2000,2690544.18,2690544.18
30/9/2000,3877643.32,3877643.32
30/6/2000,3830183.25,3830183.25
31/3/2000,3663247.04,3663247.04
31/12/1999,3127424.36,3127424.36
30/9/1999,3470013.99,3470013.99
30/6/1999,3344355.73,3344355.73
31/3/1999,3031593.32,3031593.32
31/12/1998,3549117.24,3549117.24
30/9/1998,4041735.52,4041735.52
30/6/1998,3727042.09,3727042.09
31/3/1998,3680248.75,3680248.75
31/12/1997,3695501.94,3695501.94
30/9/1997,2833283.88,2833283.88
30/6/1997,2954195.64,2954195.64
31/3/1997,2087048.97,2087048.97
31/12/1996,1894489.66,1894489.66
30/9/1996,1727698.88,1727698.88
30/6/1996,1661689.57,1661689.57
31/3/1996,2210456.05,2210456.05
