Date,PX_LAST,PX_MID
31/12/2022,1.12,1.12
31/12/2021,0.69,0.69
31/12/2020,1.24,1.24
31/12/2019,0.78,0.78
31/12/2018,0.5,0.5
31/12/2017,0.38,0.38
31/12/2016,0.82,0.82
31/12/2015,0.12,0.12
31/12/2014,0.4,0.4
31/12/2013,0.2,0.2
31/12/2012,0.01,0.01
31/12/2011,-0.01,-0.01
31/12/2010,0.13,0.13
31/12/2009,0.23,0.23
31/12/2008,0.48,0.48
31/12/2007,0.47,0.47
31/12/2006,-0.05,-0.05
31/12/2005,0.11,0.11
31/12/2004,0.15,0.15
31/12/2003,0.19,0.19
31/12/2002,0.28,0.28
31/12/2001,0.11,0.11
31/12/2000,0.22,0.22
31/12/1999,0.32,0.32
31/12/1998,0.06,0.06
31/12/1997,0.06,0.06
31/12/1996,0,0
31/12/1995,0,0
31/12/1994,0.02,0.02
31/12/1993,0,0
31/12/1992,0.07,0.07
31/12/1991,0.04,0.04
31/12/1990,0.06,0.06
