Date,PX_LAST,FIRST_REVISION
31/10/2023,1235.1,#N/A N/A
30/9/2023,1236.4,#N/A N/A
31/8/2023,1238.5,#N/A N/A
31/7/2023,1238.9,#N/A N/A
30/6/2023,1239.2,#N/A N/A
31/5/2023,1236.1,#N/A N/A
30/4/2023,1232.7,#N/A N/A
31/3/2023,1213.4,#N/A N/A
28/2/2023,1209.1,#N/A N/A
31/1/2023,1213.3,#N/A N/A
31/12/2022,1212.8,#N/A N/A
30/11/2022,1212.5,#N/A N/A
31/10/2022,1206.4,#N/A N/A
30/9/2022,1207.5,#N/A N/A
31/8/2022,1208.8,#N/A N/A
31/7/2022,1208.8,#N/A N/A
30/6/2022,1207.8,#N/A N/A
31/5/2022,1204.3,#N/A N/A
30/4/2022,1201.8,#N/A N/A
31/3/2022,1183.3,#N/A N/A
28/2/2022,1178.9,#N/A N/A
31/1/2022,1181.4,#N/A N/A
31/12/2021,1178.2,#N/A N/A
30/11/2021,1175.7,#N/A N/A
31/10/2021,1170.6,#N/A N/A
30/9/2021,1169.2,#N/A N/A
31/8/2021,1168.9,#N/A N/A
31/7/2021,1169,#N/A N/A
30/6/2021,1169.2,#N/A N/A
31/5/2021,1167.6,#N/A N/A
30/4/2021,1161.9,#N/A N/A
31/3/2021,1143.7,#N/A N/A
28/2/2021,1139.4,#N/A N/A
31/1/2021,1141,#N/A N/A
31/12/2020,1136.9,#N/A N/A
30/11/2020,1131.6,#N/A N/A
31/10/2020,1124.2,#N/A N/A
30/9/2020,1123,#N/A N/A
31/8/2020,1117.8,#N/A N/A
31/7/2020,1111.3,#N/A N/A
30/6/2020,1104.6,#N/A N/A
31/5/2020,1082.2,#N/A N/A
30/4/2020,1064.1,#N/A N/A
31/3/2020,1045.4,#N/A N/A
29/2/2020,1039.6,#N/A N/A
31/1/2020,1042.8,#N/A N/A
31/12/2019,1041.6,#N/A N/A
30/11/2019,1037.6,#N/A N/A
31/10/2019,1031.5,#N/A N/A
30/9/2019,1030.7,#N/A N/A
31/8/2019,1029.5,#N/A N/A
31/7/2019,1030.1,#N/A N/A
30/6/2019,1030,#N/A N/A
31/5/2019,1029.6,#N/A N/A
30/4/2019,1026.3,#N/A N/A
31/3/2019,1012.5,#N/A N/A
28/2/2019,1009.8,#N/A N/A
31/1/2019,1014.8,#N/A N/A
31/12/2018,1014.2,#N/A N/A
30/11/2018,1010.5,#N/A N/A
31/10/2018,1007.4,#N/A N/A
30/9/2018,1006.6,#N/A N/A
31/8/2018,1005.6,#N/A N/A
31/7/2018,1006.8,#N/A N/A
30/6/2018,1006.5,#N/A N/A
31/5/2018,1003.2,#N/A N/A
30/4/2018,1001.1,#N/A N/A
31/3/2018,989.1,#N/A N/A
28/2/2018,986.6,#N/A N/A
31/1/2018,991.7,#N/A N/A
31/12/2017,990.6,#N/A N/A
30/11/2017,987.5,#N/A N/A
31/10/2017,981.3,#N/A N/A
30/9/2017,978.9,#N/A N/A
31/8/2017,977.7,#N/A N/A
31/7/2017,978.3,#N/A N/A
30/6/2017,976.4,#N/A N/A
31/5/2017,972.4,#N/A N/A
30/4/2017,971,#N/A N/A
31/3/2017,961.8,#N/A N/A
28/2/2017,958.1,#N/A N/A
31/1/2017,961.1,#N/A N/A
