Date,PX_LAST,PX_MID
31/12/2022,1.52,1.52
31/12/2021,2.11,2.11
31/12/2020,0.66,0.66
31/12/2019,1.48,1.48
31/12/2018,1.05,1.05
31/12/2017,1.96,1.96
31/12/2016,2.54,2.54
31/12/2015,2.81,2.81
31/12/2014,1.44,1.44
31/12/2013,1.71,1.71
31/12/2012,1.54,1.54
31/12/2011,1.69,1.69
31/12/2010,1.75,1.75
31/12/2009,1.11,1.11
31/12/2008,2.31,2.31
31/12/2007,2.39,2.39
31/12/2006,2.16,2.16
31/12/2005,1.09,1.09
31/12/2004,1.75,1.75
31/12/2003,1.02,1.02
31/12/2002,1.02,1.02
31/12/2001,1.63,1.63
31/12/2000,3.41,3.41
31/12/1999,3.24,3.24
31/12/1998,2.33,2.33
31/12/1997,1.42,1.42
31/12/1996,1.21,1.21
31/12/1995,0.9,0.9
31/12/1994,0.77,0.77
31/12/1993,0.73,0.73
31/12/1992,0.46,0.46
31/12/1991,0.56,0.56
31/12/1990,1.19,1.19
