Date,PX_LAST,PX_MID
22/11/2023,5.26,5.26
21/11/2023,5.24,5.24
20/11/2023,5.25,5.25
17/11/2023,5.24,5.24
16/11/2023,5.23,5.23
15/11/2023,5.27,5.27
14/11/2023,5.24,5.24
13/11/2023,5.37,5.37
10/11/2023,5.38,5.38
9/11/2023,5.39,5.39
8/11/2023,5.34,5.34
7/11/2023,5.33,5.33
6/11/2023,5.33,5.33
3/11/2023,5.29,5.29
2/11/2023,5.38,5.38
1/11/2023,5.37,5.37
31/10/2023,5.44,5.44
30/10/2023,5.41,5.41
27/10/2023,5.39,5.39
26/10/2023,5.39,5.39
25/10/2023,5.43,5.43
24/10/2023,5.41,5.41
23/10/2023,5.42,5.42
20/10/2023,5.41,5.41
19/10/2023,5.44,5.44
18/10/2023,5.47,5.47
17/10/2023,5.48,5.48
16/10/2023,5.42,5.42
13/10/2023,5.41,5.41
12/10/2023,5.43,5.43
11/10/2023,5.38,5.38
10/10/2023,5.37,5.37
6/10/2023,5.43,5.43
5/10/2023,5.39,5.39
4/10/2023,5.42,5.42
3/10/2023,5.49,5.49
2/10/2023,5.49,5.49
29/9/2023,5.46,5.46
28/9/2023,5.46,5.46
27/9/2023,5.49,5.49
26/9/2023,5.45,5.45
25/9/2023,5.45,5.45
22/9/2023,5.46,5.46
21/9/2023,5.46,5.46
20/9/2023,5.47,5.47
19/9/2023,5.45,5.45
18/9/2023,5.44,5.44
15/9/2023,5.43,5.43
14/9/2023,5.42,5.42
13/9/2023,5.42,5.42
12/9/2023,5.42,5.42
11/9/2023,5.4,5.4
8/9/2023,5.42,5.42
7/9/2023,5.4,5.4
6/9/2023,5.44,5.44
5/9/2023,5.42,5.42
1/9/2023,5.36,5.36
31/8/2023,5.37,5.37
30/8/2023,5.39,5.39
29/8/2023,5.37,5.37
28/8/2023,5.44,5.44
25/8/2023,5.44,5.44
24/8/2023,5.39,5.39
23/8/2023,5.35,5.35
22/8/2023,5.39,5.39
21/8/2023,5.37,5.37
18/8/2023,5.35,5.35
17/8/2023,5.36,5.36
16/8/2023,5.37,5.37
15/8/2023,5.36,5.36
14/8/2023,5.37,5.37
11/8/2023,5.36,5.36
10/8/2023,5.33,5.33
9/8/2023,5.35,5.35
8/8/2023,5.35,5.35
7/8/2023,5.3,5.3
4/8/2023,5.33,5.33
3/8/2023,5.37,5.37
2/8/2023,5.36,5.36
1/8/2023,5.38,5.38
31/7/2023,5.37,5.37
28/7/2023,5.37,5.37
27/7/2023,5.4,5.4
26/7/2023,5.37,5.37
25/7/2023,5.38,5.38
24/7/2023,5.38,5.38
21/7/2023,5.35,5.35
20/7/2023,5.35,5.35
19/7/2023,5.32,5.32
18/7/2023,5.32,5.32
17/7/2023,5.33,5.33
14/7/2023,5.34,5.34
13/7/2023,5.27,5.27
12/7/2023,5.35,5.35
11/7/2023,5.44,5.44
10/7/2023,5.38,5.38
7/7/2023,5.41,5.41
6/7/2023,5.44,5.44
5/7/2023,5.4,5.4
3/7/2023,5.43,5.43
30/6/2023,5.4,5.4
29/6/2023,5.41,5.41
28/6/2023,5.32,5.32
27/6/2023,5.33,5.33
26/6/2023,5.27,5.27
23/6/2023,5.25,5.25
22/6/2023,5.29,5.29
21/6/2023,5.25,5.25
20/6/2023,5.24,5.24
16/6/2023,5.24,5.24
15/6/2023,5.21,5.21
14/6/2023,5.27,5.27
13/6/2023,5.26,5.26
12/6/2023,5.18,5.18
9/6/2023,5.17,5.17
8/6/2023,5.12,5.12
7/6/2023,5.16,5.16
6/6/2023,5.2,5.2
5/6/2023,5.17,5.17
2/6/2023,5.22,5.22
1/6/2023,5.11,5.11
31/5/2023,5.18,5.18
30/5/2023,5.22,5.22
26/5/2023,5.25,5.25
25/5/2023,5.24,5.24
24/5/2023,5.12,5.12
23/5/2023,5.06,5.06
22/5/2023,5.07,5.07
19/5/2023,5.02,5.02
18/5/2023,5.02,5.02
17/5/2023,4.92,4.92
16/5/2023,4.88,4.88
15/5/2023,4.73,4.73
12/5/2023,4.75,4.75
11/5/2023,4.7,4.7
10/5/2023,4.7,4.7
9/5/2023,4.81,4.81
8/5/2023,4.79,4.79
5/5/2023,4.73,4.73
4/5/2023,4.59,4.59
3/5/2023,4.7,4.7
2/5/2023,4.74,4.74
1/5/2023,4.86,4.86
28/4/2023,4.8,4.8
27/4/2023,4.78,4.78
26/4/2023,4.64,4.64
25/4/2023,4.6,4.6
24/4/2023,4.76,4.76
21/4/2023,4.78,4.78
20/4/2023,4.77,4.77
19/4/2023,4.84,4.84
18/4/2023,4.81,4.81
17/4/2023,4.8,4.8
14/4/2023,4.77,4.77
13/4/2023,4.66,4.66
12/4/2023,4.64,4.64
11/4/2023,4.67,4.67
10/4/2023,4.65,4.65
7/4/2023,4.61,4.61
6/4/2023,4.51,4.51
5/4/2023,4.43,4.43
4/4/2023,4.5,4.5
3/4/2023,4.6,4.6
31/3/2023,4.64,4.64
30/3/2023,4.63,4.63
29/3/2023,4.59,4.59
28/3/2023,4.55,4.55
27/3/2023,4.51,4.51
24/3/2023,4.32,4.32
23/3/2023,4.38,4.38
22/3/2023,4.56,4.56
21/3/2023,4.68,4.68
20/3/2023,4.34,4.34
17/3/2023,4.26,4.26
16/3/2023,4.49,4.49
15/3/2023,4.19,4.19
14/3/2023,4.45,4.45
13/3/2023,4.3,4.3
10/3/2023,4.9,4.9
9/3/2023,5.18,5.18
8/3/2023,5.25,5.25
7/3/2023,5.22,5.22
6/3/2023,5.05,5.05
3/3/2023,5.03,5.03
2/3/2023,5.04,5.04
1/3/2023,5.06,5.06
28/2/2023,5.02,5.02
27/2/2023,5.03,5.03
24/2/2023,5.05,5.05
23/2/2023,5.03,5.03
22/2/2023,5.07,5.07
21/2/2023,5.07,5.07
17/2/2023,5,5
16/2/2023,4.99,4.99
15/2/2023,4.96,4.96
14/2/2023,4.99,4.99
13/2/2023,4.91,4.91
10/2/2023,4.89,4.89
9/2/2023,4.88,4.88
8/2/2023,4.87,4.87
7/2/2023,4.88,4.88
6/2/2023,4.85,4.85
3/2/2023,4.79,4.79
2/2/2023,4.64,4.64
1/2/2023,4.66,4.66
31/1/2023,4.68,4.68
30/1/2023,4.71,4.71
27/1/2023,4.68,4.68
26/1/2023,4.68,4.68
25/1/2023,4.67,4.67
24/1/2023,4.7,4.7
23/1/2023,4.7,4.7
20/1/2023,4.68,4.68
19/1/2023,4.65,4.65
18/1/2023,4.63,4.63
17/1/2023,4.67,4.67
13/1/2023,4.69,4.69
12/1/2023,4.66,4.66
11/1/2023,4.73,4.73
10/1/2023,4.74,4.74
9/1/2023,4.69,4.69
6/1/2023,4.71,4.71
5/1/2023,4.78,4.78
4/1/2023,4.71,4.71
3/1/2023,4.72,4.72
30/12/2022,4.73,4.73
29/12/2022,4.71,4.71
28/12/2022,4.71,4.71
27/12/2022,4.75,4.75
23/12/2022,4.66,4.66
22/12/2022,4.64,4.64
21/12/2022,4.6,4.6
20/12/2022,4.64,4.64
19/12/2022,4.64,4.64
16/12/2022,4.61,4.61
15/12/2022,4.65,4.65
14/12/2022,4.64,4.64
13/12/2022,4.64,4.64
12/12/2022,4.75,4.75
9/12/2022,4.72,4.72
8/12/2022,4.71,4.71
7/12/2022,4.67,4.67
6/12/2022,4.73,4.73
5/12/2022,4.77,4.77
2/12/2022,4.69,4.69
1/12/2022,4.66,4.66
30/11/2022,4.74,4.74
29/11/2022,4.78,4.78
28/11/2022,4.76,4.76
25/11/2022,4.76,4.76
23/11/2022,4.75,4.75
22/11/2022,4.79,4.79
21/11/2022,4.75,4.75
18/11/2022,4.74,4.74
17/11/2022,4.68,4.68
16/11/2022,4.62,4.62
15/11/2022,4.6,4.6
14/11/2022,4.63,4.63
10/11/2022,4.59,4.59
9/11/2022,4.75,4.75
8/11/2022,4.77,4.77
7/11/2022,4.8,4.8
4/11/2022,4.76,4.76
3/11/2022,4.78,4.78
2/11/2022,4.76,4.76
1/11/2022,4.75,4.75
31/10/2022,4.66,4.66
28/10/2022,4.55,4.55
27/10/2022,4.5,4.5
26/10/2022,4.54,4.54
25/10/2022,4.6,4.6
24/10/2022,4.61,4.61
21/10/2022,4.58,4.58
20/10/2022,4.66,4.66
19/10/2022,4.6,4.6
18/10/2022,4.5,4.5
17/10/2022,4.5,4.5
14/10/2022,4.5,4.5
13/10/2022,4.46,4.46
12/10/2022,4.28,4.28
11/10/2022,4.28,4.28
7/10/2022,4.24,4.24
6/10/2022,4.19,4.19
5/10/2022,4.14,4.14
4/10/2022,4.15,4.15
3/10/2022,4.01,4.01
30/9/2022,4.05,4.05
29/9/2022,3.98,3.98
28/9/2022,3.99,3.99
27/9/2022,4.16,4.16
26/9/2022,4.17,4.17
23/9/2022,4.15,4.15
22/9/2022,4.08,4.08
21/9/2022,4.08,4.08
20/9/2022,4.03,4.03
19/9/2022,4.05,4.05
16/9/2022,3.96,3.96
15/9/2022,4,4
14/9/2022,3.95,3.95
13/9/2022,3.92,3.92
12/9/2022,3.7,3.7
9/9/2022,3.67,3.67
8/9/2022,3.6,3.6
7/9/2022,3.6,3.6
6/9/2022,3.61,3.61
2/9/2022,3.47,3.47
1/9/2022,3.51,3.51
31/8/2022,3.5,3.5
30/8/2022,3.48,3.48
29/8/2022,3.43,3.43
26/8/2022,3.36,3.36
25/8/2022,3.33,3.33
24/8/2022,3.35,3.35
23/8/2022,3.29,3.29
22/8/2022,3.32,3.32
19/8/2022,3.26,3.26
18/8/2022,3.24,3.24
17/8/2022,3.27,3.27
16/8/2022,3.26,3.26
15/8/2022,3.23,3.23
12/8/2022,3.26,3.26
11/8/2022,3.25,3.25
10/8/2022,3.26,3.26
9/8/2022,3.33,3.33
8/8/2022,3.3,3.3
5/8/2022,3.29,3.29
4/8/2022,3.11,3.11
3/8/2022,3.14,3.14
2/8/2022,3.09,3.09
1/8/2022,2.98,2.98
29/7/2022,2.98,2.98
28/7/2022,2.93,2.93
27/7/2022,3,3
26/7/2022,3.06,3.06
25/7/2022,3.07,3.07
22/7/2022,3.01,3.01
21/7/2022,3.11,3.11
20/7/2022,3.18,3.18
19/7/2022,3.18,3.18
18/7/2022,3.13,3.13
15/7/2022,3.12,3.12
14/7/2022,3.16,3.16
13/7/2022,3.21,3.21
12/7/2022,3.07,3.07
11/7/2022,2.97,2.97
8/7/2022,2.96,2.96
7/7/2022,2.87,2.87
6/7/2022,2.82,2.82
5/7/2022,2.77,2.77
1/7/2022,2.79,2.79
30/6/2022,2.8,2.8
29/6/2022,2.88,2.88
28/6/2022,2.88,2.88
27/6/2022,2.89,2.89
24/6/2022,2.83,2.83
23/6/2022,2.78,2.78
22/6/2022,2.79,2.79
21/6/2022,2.92,2.92
17/6/2022,2.86,2.86
16/6/2022,2.88,2.88
15/6/2022,2.93,2.93
14/6/2022,3.15,3.15
13/6/2022,2.89,2.89
10/6/2022,2.58,2.58
9/6/2022,2.35,2.35
8/6/2022,2.29,2.29
7/6/2022,2.26,2.26
6/6/2022,2.23,2.23
3/6/2022,2.18,2.18
2/6/2022,2.15,2.15
1/6/2022,2.16,2.16
31/5/2022,2.08,2.08
27/5/2022,2.01,2.01
26/5/2022,1.99,1.99
25/5/2022,2.01,2.01
24/5/2022,2.02,2.02
23/5/2022,2.09,2.09
20/5/2022,2.07,2.07
19/5/2022,2.11,2.11
18/5/2022,2.16,2.16
17/5/2022,2.16,2.16
16/5/2022,2.07,2.07
13/5/2022,2.04,2.04
12/5/2022,1.96,1.96
11/5/2022,1.99,1.99
10/5/2022,2.01,2.01
9/5/2022,1.99,1.99
6/5/2022,2.08,2.08
5/5/2022,2.08,2.08
4/5/2022,2.07,2.07
3/5/2022,2.16,2.16
2/5/2022,2.1,2.1
29/4/2022,2.1,2.1
28/4/2022,2.04,2.04
27/4/2022,1.97,1.97
26/4/2022,1.99,1.99
25/4/2022,2.03,2.03
22/4/2022,2.06,2.06
21/4/2022,2.01,2.01
20/4/2022,1.93,1.93
19/4/2022,1.94,1.94
18/4/2022,1.84,1.84
14/4/2022,1.84,1.84
13/4/2022,1.78,1.78
12/4/2022,1.77,1.77
11/4/2022,1.85,1.85
8/4/2022,1.81,1.81
7/4/2022,1.78,1.78
6/4/2022,1.79,1.79
5/4/2022,1.77,1.77
4/4/2022,1.72,1.72
1/4/2022,1.72,1.72
31/3/2022,1.63,1.63
30/3/2022,1.64,1.64
29/3/2022,1.67,1.67
28/3/2022,1.69,1.69
25/3/2022,1.67,1.67
24/3/2022,1.55,1.55
23/3/2022,1.52,1.52
22/3/2022,1.59,1.59
21/3/2022,1.4,1.4
18/3/2022,1.29,1.29
17/3/2022,1.3,1.3
16/3/2022,1.35,1.35
15/3/2022,1.28,1.28
14/3/2022,1.28,1.28
11/3/2022,1.22,1.22
10/3/2022,1.19,1.19
9/3/2022,1.15,1.15
8/3/2022,1.12,1.12
7/3/2022,1.07,1.07
4/3/2022,1.05,1.05
3/3/2022,1.08,1.08
2/3/2022,1.06,1.06
1/3/2022,0.91,0.91
28/2/2022,1.01,1.01
25/2/2022,1.13,1.13
24/2/2022,1.08,1.08
23/2/2022,1.16,1.16
22/2/2022,1.17,1.17
18/2/2022,1.03,1.03
17/2/2022,1.05,1.05
16/2/2022,1.09,1.09
15/2/2022,1.11,1.11
14/2/2022,1.13,1.13
11/2/2022,1.07,1.07
10/2/2022,1.14,1.14
9/2/2022,0.91,0.91
8/2/2022,0.91,0.91
7/2/2022,0.88,0.88
4/2/2022,0.89,0.89
3/2/2022,0.78,0.78
2/2/2022,0.76,0.76
1/2/2022,0.78,0.78
31/1/2022,0.78,0.78
28/1/2022,0.75,0.75
27/1/2022,0.75,0.75
26/1/2022,0.7,0.7
25/1/2022,0.65,0.65
24/1/2022,0.58,0.58
21/1/2022,0.58,0.58
20/1/2022,0.6,0.6
19/1/2022,0.57,0.57
18/1/2022,0.58,0.58
14/1/2022,0.51,0.51
13/1/2022,0.47,0.47
12/1/2022,0.48,0.48
11/1/2022,0.46,0.46
10/1/2022,0.46,0.46
7/1/2022,0.43,0.43
6/1/2022,0.45,0.45
5/1/2022,0.41,0.41
4/1/2022,0.38,0.38
3/1/2022,0.4,0.4
31/12/2021,0.39,0.39
30/12/2021,0.38,0.38
29/12/2021,0.38,0.38
28/12/2021,0.39,0.39
27/12/2021,0.33,0.33
23/12/2021,0.31,0.31
22/12/2021,0.28,0.28
21/12/2021,0.29,0.29
20/12/2021,0.27,0.27
17/12/2021,0.27,0.27
16/12/2021,0.26,0.26
15/12/2021,0.29,0.29
14/12/2021,0.26,0.26
13/12/2021,0.27,0.27
10/12/2021,0.27,0.27
9/12/2021,0.28,0.28
8/12/2021,0.29,0.29
