Date,Open,Close
24/11/2023,149.56,149.61
23/11/2023,149.54,149.56
22/11/2023,148.4,149.54
21/11/2023,148.39,148.39
20/11/2023,149.69,148.39
17/11/2023,150.73,149.63
16/11/2023,151.36,150.73
15/11/2023,150.37,151.36
14/11/2023,151.72,150.37
13/11/2023,151.51,151.72
10/11/2023,151.35,151.52
9/11/2023,150.98,151.35
8/11/2023,150.37,150.98
7/11/2023,150.07,150.37
6/11/2023,149.29,150.07
3/11/2023,150.45,149.39
2/11/2023,150.95,150.45
1/11/2023,151.68,150.95
31/10/2023,149.1,151.68
30/10/2023,149.5,149.1
27/10/2023,150.4,149.66
26/10/2023,150.23,150.4
25/10/2023,149.91,150.23
24/10/2023,149.71,149.91
23/10/2023,149.94,149.71
20/10/2023,149.79,149.86
19/10/2023,149.93,149.8
18/10/2023,149.81,149.93
17/10/2023,149.51,149.81
16/10/2023,149.52,149.51
13/10/2023,149.81,149.57
12/10/2023,149.17,149.81
11/10/2023,148.71,149.17
10/10/2023,148.51,148.71
9/10/2023,149.07,148.51
6/10/2023,148.51,149.32
5/10/2023,149.12,148.51
4/10/2023,149.02,149.12
3/10/2023,149.86,149.02
2/10/2023,149.5,149.86
29/9/2023,149.31,149.37
28/9/2023,149.63,149.31
27/9/2023,149.07,149.63
26/9/2023,148.88,149.07
25/9/2023,148.35,148.88
22/9/2023,147.59,148.37
21/9/2023,148.34,147.59
20/9/2023,147.86,148.34
19/9/2023,147.61,147.86
18/9/2023,147.77,147.61
15/9/2023,147.48,147.85
14/9/2023,147.46,147.47
13/9/2023,147.08,147.46
12/9/2023,146.59,147.08
11/9/2023,147.04,146.59
8/9/2023,147.3,147.83
7/9/2023,147.66,147.3
6/9/2023,147.72,147.66
5/9/2023,146.48,147.72
4/9/2023,146.21,146.47
1/9/2023,145.54,146.22
31/8/2023,146.24,145.54
30/8/2023,145.88,146.24
29/8/2023,146.54,145.88
28/8/2023,146.45,146.54
25/8/2023,145.84,146.44
24/8/2023,144.84,145.83
23/8/2023,145.89,144.84
22/8/2023,146.22,145.89
21/8/2023,145.26,146.22
18/8/2023,145.84,145.39
17/8/2023,146.35,145.84
16/8/2023,145.57,146.35
15/8/2023,145.56,145.57
14/8/2023,144.75,145.56
11/8/2023,144.74,144.96
10/8/2023,143.73,144.75
9/8/2023,143.38,143.73
8/8/2023,142.5,143.38
7/8/2023,141.78,142.5
4/8/2023,142.58,141.76
3/8/2023,143.32,142.58
2/8/2023,143.34,143.32
1/8/2023,142.29,143.34
31/7/2023,140.99,142.29
28/7/2023,139.48,141.16
27/7/2023,140.24,139.48
26/7/2023,140.9,140.24
25/7/2023,141.48,140.9
24/7/2023,141.73,141.48
21/7/2023,140.07,141.73
20/7/2023,139.65,140.07
19/7/2023,138.83,139.65
18/7/2023,138.71,138.83
17/7/2023,138.8,138.71
