Date,PX_LAST,PX_BID
24/11/2023,4.4822,4.4841
23/11/2023,4.4042,4.4081
22/11/2023,4.4042,4.4081
21/11/2023,4.3926,4.3945
20/11/2023,4.4198,4.4218
17/11/2023,4.4354,4.4374
16/11/2023,4.4355,4.4394
15/11/2023,4.5314,4.5333
14/11/2023,4.4473,4.4492
13/11/2023,4.6399,4.6419
10/11/2023,4.6518,4.6538
9/11/2023,4.6241,4.628
8/11/2023,4.4925,4.4945
7/11/2023,4.5665,4.5686
6/11/2023,4.6431,4.6452
3/11/2023,4.5724,4.5744
2/11/2023,4.659,4.6611
1/11/2023,4.7341,4.7362
31/10/2023,4.9307,4.9328
30/10/2023,4.8942,4.8964
27/10/2023,4.8346,4.8388
26/10/2023,4.8445,4.8466
25/10/2023,4.9549,4.9592
24/10/2023,4.8229,4.8272
23/10/2023,4.8502,4.8523
20/10/2023,4.9137,4.9179
19/10/2023,4.9898,4.992
18/10/2023,4.9149,4.917
17/10/2023,4.8341,4.8384
16/10/2023,4.706,4.7081
13/10/2023,4.6124,4.6145
12/10/2023,4.6969,4.7011
11/10/2023,4.5582,4.5603
10/10/2023,4.653,4.655
9/10/2023,4.8009,4.8051
6/10/2023,4.8009,4.8051
5/10/2023,4.7185,4.7206
4/10/2023,4.7329,4.735
3/10/2023,4.7955,4.7976
2/10/2023,4.6785,4.6806
29/9/2023,4.5711,4.5732
28/9/2023,4.5748,4.5768
27/9/2023,4.6075,4.6095
26/9/2023,4.5356,4.5376
25/9/2023,4.5334,4.5375
22/9/2023,4.4337,4.4357
21/9/2023,4.4942,4.4982
20/9/2023,4.407,4.411
19/9/2023,4.3586,4.3607
18/9/2023,4.3026,4.3045
15/9/2023,4.3324,4.3364
14/9/2023,4.2863,4.2922
13/9/2023,4.2485,4.2544
12/9/2023,4.2801,4.2861
11/9/2023,4.288,4.296
8/9/2023,4.2641,4.2701
7/9/2023,4.2441,4.25
6/9/2023,4.2797,4.2836
5/9/2023,4.2598,4.2657
4/9/2023,4.1788,4.1808
1/9/2023,4.1788,4.1808
31/8/2023,4.1081,4.1101
30/8/2023,4.1139,4.1178
29/8/2023,4.1197,4.1256
28/8/2023,4.202,4.2079
25/8/2023,4.2354,4.2393
24/8/2023,4.2372,4.2391
23/8/2023,4.1918,4.1977
22/8/2023,4.3241,4.33
21/8/2023,4.3379,4.3439
18/8/2023,4.2546,4.2566
17/8/2023,4.2741,4.282
16/8/2023,4.2504,4.2543
15/8/2023,4.211,4.2188
14/8/2023,4.1913,4.1952
11/8/2023,4.1522,4.1581
10/8/2023,4.1055,4.1113
9/8/2023,4.0081,4.0182
8/8/2023,4.022,4.0301
7/8/2023,4.0885,4.0966
4/8/2023,4.0338,4.0398
3/8/2023,4.1751,4.1812
2/8/2023,4.0775,4.0856
1/8/2023,4.023,4.029
31/7/2023,3.9588,3.9648
28/7/2023,3.9507,3.9546
27/7/2023,3.9982,4.0062
