Date,PX_LAST,FIRST_REVISION
31/10/2023,3.2,#N/A N/A
30/9/2023,3.7,#N/A N/A
31/8/2023,3.7,#N/A N/A
31/7/2023,3.2,#N/A N/A
30/6/2023,3,#N/A N/A
31/5/2023,4,#N/A N/A
30/4/2023,4.9,#N/A N/A
31/3/2023,5,#N/A N/A
28/2/2023,6,#N/A N/A
31/1/2023,6.4,#N/A N/A
31/12/2022,6.5,#N/A N/A
30/11/2022,7.1,#N/A N/A
31/10/2022,7.7,#N/A N/A
30/9/2022,8.2,#N/A N/A
31/8/2022,8.3,#N/A N/A
31/7/2022,8.5,#N/A N/A
30/6/2022,9.1,#N/A N/A
31/5/2022,8.6,#N/A N/A
30/4/2022,8.3,#N/A N/A
31/3/2022,8.5,#N/A N/A
28/2/2022,7.9,#N/A N/A
31/1/2022,7.5,#N/A N/A
31/12/2021,7,#N/A N/A
30/11/2021,6.8,#N/A N/A
31/10/2021,6.2,#N/A N/A
30/9/2021,5.4,#N/A N/A
31/8/2021,5.3,#N/A N/A
31/7/2021,5.4,#N/A N/A
30/6/2021,5.4,#N/A N/A
31/5/2021,5,#N/A N/A
30/4/2021,4.2,#N/A N/A
31/3/2021,2.6,#N/A N/A
28/2/2021,1.7,#N/A N/A
31/1/2021,1.4,#N/A N/A
31/12/2020,1.4,#N/A N/A
30/11/2020,1.2,#N/A N/A
31/10/2020,1.2,#N/A N/A
30/9/2020,1.4,#N/A N/A
31/8/2020,1.3,#N/A N/A
31/7/2020,1,#N/A N/A
30/6/2020,0.6,#N/A N/A
31/5/2020,0.1,#N/A N/A
30/4/2020,0.3,#N/A N/A
31/3/2020,1.5,#N/A N/A
29/2/2020,2.3,#N/A N/A
31/1/2020,2.5,#N/A N/A
31/12/2019,2.3,#N/A N/A
30/11/2019,2.1,#N/A N/A
31/10/2019,1.8,#N/A N/A
30/9/2019,1.7,#N/A N/A
31/8/2019,1.7,#N/A N/A
31/7/2019,1.8,#N/A N/A
30/6/2019,1.6,#N/A N/A
31/5/2019,1.8,#N/A N/A
30/4/2019,2,#N/A N/A
31/3/2019,1.9,#N/A N/A
28/2/2019,1.5,#N/A N/A
31/1/2019,1.6,#N/A N/A
31/12/2018,1.9,#N/A N/A
30/11/2018,2.2,#N/A N/A
31/10/2018,2.5,#N/A N/A
30/9/2018,2.3,#N/A N/A
31/8/2018,2.7,#N/A N/A
31/7/2018,2.9,#N/A N/A
30/6/2018,2.9,#N/A N/A
31/5/2018,2.8,#N/A N/A
30/4/2018,2.5,#N/A N/A
31/3/2018,2.4,#N/A N/A
28/2/2018,2.2,#N/A N/A
31/1/2018,2.1,#N/A N/A
31/12/2017,2.1,#N/A N/A
30/11/2017,2.2,#N/A N/A
31/10/2017,2,#N/A N/A
30/9/2017,2.2,#N/A N/A
31/8/2017,1.9,#N/A N/A
31/7/2017,1.7,#N/A N/A
30/6/2017,1.6,#N/A N/A
31/5/2017,1.9,#N/A N/A
30/4/2017,2.2,#N/A N/A
31/3/2017,2.4,#N/A N/A
28/2/2017,2.7,#N/A N/A
31/1/2017,2.5,#N/A N/A
31/12/2016,2.1,#N/A N/A
30/11/2016,1.7,#N/A N/A
31/10/2016,1.6,#N/A N/A
30/9/2016,1.5,#N/A N/A
31/8/2016,1.1,#N/A N/A
31/7/2016,0.8,#N/A N/A
