Date,PX_LAST,PX_MID
10/31/2023,20705.1,20705.1
30/9/2023,20609.4,20609.4
31/8/2023,20662.6,20662.6
31/7/2023,20716.8,20716.8
30/6/2023,20683.2,20683.2
31/5/2023,20755.9,20755.9
30/4/2023,20691.5,20691.5
31/3/2023,20897.2,20897.2
28/2/2023,21117.7,21117.7
31/1/2023,21122.4,21122.4
31/12/2022,21428.2,21428.2
30/11/2022,21373.1,21373.1
31/10/2022,21371.2,21371.2
30/9/2022,21363.1,21363.1
31/8/2022,21479,21479
31/7/2022,21525.4,21525.4
30/6/2022,21527.6,21527.6
31/5/2022,21521.2,21521.2
30/4/2022,21604,21604
31/3/2022,21845.2,21845.2
28/2/2022,21651.7,21651.7
31/1/2022,21512,21512
31/12/2021,21742,21742
30/11/2021,21374.3,21374.3
31/10/2021,21026.6,21026.6
30/9/2021,20831.4,20831.4
31/8/2021,20779.2,20779.2
31/7/2021,20517,20517
30/6/2021,20362.5,20362.5
31/5/2021,20274.9,20274.9
30/4/2021,20145.2,20145.2
31/3/2021,20112.3,20112.3
28/2/2021,19540,19540
31/1/2021,19279.8,19279.8
31/12/2020,19292.8,19292.8
30/11/2020,19049.9,19049.9
31/10/2020,18640.9,18640.9
30/9/2020,18488.3,18488.3
31/8/2020,18376.9,18376.9
31/7/2020,18108.3,18108.3
30/6/2020,18155.5,18155.5
31/5/2020,17780.1,17780.1
30/4/2020,17318.7,17318.7
31/3/2020,16614.3,16614.3
29/2/2020,15328.1,15328.1
31/1/2020,15294,15294
31/12/2019,15452.4,15452.4
30/11/2019,15231.3,15231.3
31/10/2019,15077.4,15077.4
30/9/2019,15012.9,15012.9
31/8/2019,14831.4,14831.4
31/7/2019,14789.1,14789.1
30/6/2019,14659,14659
31/5/2019,14565.3,14565.3
30/4/2019,14475.5,14475.5
31/3/2019,14532.7,14532.7
28/2/2019,14373.7,14373.7
31/1/2019,14324.5,14324.5
31/12/2018,14529.5,14529.5
30/11/2018,14221.3,14221.3
31/10/2018,14152.2,14152.2
30/9/2018,14113.1,14113.1
31/8/2018,14130.4,14130.4
31/7/2018,14069.7,14069.7
30/6/2018,13987.3,13987.3
31/5/2018,13958.9,13958.9
30/4/2018,13915.7,13915.7
31/3/2018,13994.3,13994.3
28/2/2018,13841,13841
31/1/2018,13745.1,13745.1
31/12/2017,13934.4,13934.4
30/11/2017,13803.6,13803.6
31/10/2017,13711.2,13711.2
30/9/2017,13613.7,13613.7
31/8/2017,13625.6,13625.6
31/7/2017,13580.1,13580.1
30/6/2017,13449.4,13449.4
31/5/2017,13453.2,13453.2
30/4/2017,13468.6,13468.6
31/3/2017,13470.1,13470.1
28/2/2017,13322.6,13322.6
31/1/2017,13180.5,13180.5
31/12/2016,13296,13296
30/11/2016,13184.9,13184.9
31/10/2016,13076,13076
30/9/2016,12932.8,12932.8
