Date,PX_LAST,FIRST_REVISION
31/10/2023,3.3,#N/A N/A
30/9/2023,3,#N/A N/A
31/8/2023,3.2,#N/A N/A
31/7/2023,3.3,#N/A N/A
30/6/2023,3.3,#N/A N/A
31/5/2023,3.2,#N/A N/A
30/4/2023,3.5,#N/A N/A
31/3/2023,3.2,#N/A N/A
28/2/2023,3.3,#N/A N/A
31/1/2023,4.3,#N/A N/A
31/12/2022,4,#N/A N/A
30/11/2022,3.8,#N/A N/A
31/10/2022,3.7,#N/A N/A
30/9/2022,3,#N/A N/A
31/8/2022,3,#N/A N/A
31/7/2022,2.6,#N/A N/A
30/6/2022,2.4,#N/A N/A
31/5/2022,2.5,#N/A N/A
30/4/2022,2.5,#N/A N/A
31/3/2022,1.2,#N/A N/A
28/2/2022,0.9,#N/A N/A
31/1/2022,0.5,#N/A N/A
31/12/2021,0.8,#N/A N/A
30/11/2021,0.6,#N/A N/A
31/10/2021,0.1,#N/A N/A
30/9/2021,0.2,#N/A N/A
31/8/2021,-0.4,#N/A N/A
31/7/2021,-0.3,#N/A N/A
30/6/2021,-0.5,#N/A N/A
31/5/2021,-0.8,#N/A N/A
30/4/2021,-1.1,#N/A N/A
31/3/2021,-0.4,#N/A N/A
28/2/2021,-0.5,#N/A N/A
31/1/2021,-0.7,#N/A N/A
31/12/2020,-1.2,#N/A N/A
30/11/2020,-0.9,#N/A N/A
31/10/2020,-0.4,#N/A N/A
30/9/2020,0,#N/A N/A
31/8/2020,0.2,#N/A N/A
31/7/2020,0.3,#N/A N/A
30/6/2020,0.1,#N/A N/A
31/5/2020,0.1,#N/A N/A
30/4/2020,0.1,#N/A N/A
31/3/2020,0.4,#N/A N/A
29/2/2020,0.4,#N/A N/A
31/1/2020,0.7,#N/A N/A
31/12/2019,0.8,#N/A N/A
30/11/2019,0.5,#N/A N/A
31/10/2019,0.2,#N/A N/A
30/9/2019,0.2,#N/A N/A
31/8/2019,0.3,#N/A N/A
31/7/2019,0.5,#N/A N/A
30/6/2019,0.7,#N/A N/A
31/5/2019,0.7,#N/A N/A
30/4/2019,0.9,#N/A N/A
31/3/2019,0.5,#N/A N/A
28/2/2019,0.2,#N/A N/A
31/1/2019,0.2,#N/A N/A
31/12/2018,0.3,#N/A N/A
30/11/2018,0.8,#N/A N/A
