Technical Indicator,Importance to Peak,Importance to Trough,Source CSV
Aroon_Up,0.0021898684545489855,0.003112278080085183,technical_indicators.csv
Aroon_Down,0.0040966546040562095,0.002116667152369134,technical_indicators.csv
ATR,0.002921837123464941,0.0032630853430734665,technical_indicators.csv
Awesome_Oscillator,0.002994295107656519,0.002731644516024833,technical_indicators.csv
BBand_Upper,0.0015722987130530898,0.0016620417045497924,technical_indicators.csv
BBand_Middle,0.0010425822054002192,0.0010373121203286113,technical_indicators.csv
BBand_Lower,0.0017116100967418163,0.001385422189719977,technical_indicators.csv
Bollinger_PercentB,0.006230236967583618,0.007504648039334079,technical_indicators.csv
Bollinger_Bandwidth,0.003518294497380265,0.0033807469552781843,technical_indicators.csv
chaikin_vol,0.004384100466466511,0.0032589088058681986,technical_indicators.csv
CCI,0.004958713382445307,0.006605846244197159,technical_indicators.csv
Moving_Average,0.001293299905451931,0.0013874313778579636,technical_indicators.csv
DPO,0.009697263855218059,0.006196824632540513,technical_indicators.csv
+DI,0.007288797998606744,0.0039009559338168687,technical_indicators.csv
-DI,0.004085200739392694,0.0057177840878184765,technical_indicators.csv
DC_High,0.001259816366697154,0.0012418242351485067,technical_indicators.csv
DC_Low,0.0013753546149810583,0.0014043432916997444,technical_indicators.csv
EMA,0.0015437497505505614,0.001550244718618189,technical_indicators.csv
Ichimoku_Tenkan,0.0011644755326009734,0.0010147221611400588,technical_indicators.csv
Ichimoku_Kijun,0.0010385322926570436,0.001305252118353887,technical_indicators.csv
KDJ_K,0.004857872883569052,0.004695858615370411,technical_indicators.csv
KDJ_D,0.0033039632011594676,0.004006108921585435,technical_indicators.csv
MACD,0.0026999870577103574,0.0027488009219626968,technical_indicators.csv
MACD_Signal,0.002767501658285159,0.003367437109605832,technical_indicators.csv
RSI_x,0.003573549043296626,0.004390222631507323,hurst_kalman_fft_derivatives.csv
KC_upper,0.0014465236343224844,0.0014112529392832144,technical_indicators.csv
KC_lower,0.0013213697442597686,0.0013944722829186747,technical_indicators.csv
Momentum,0.00242305565873292,0.003349295041526963,technical_indicators.csv
Parabolic_SAR,0.001455256935522423,0.001683663463292973,technical_indicators.csv
Pivot_Point,0.0017037161748402953,0.001152219500519935,technical_indicators.csv
ROC_x,0.0035233800764169947,0.004062354417103392,hurst_kalman_fft_derivatives.csv
RCI,0.00315562994396154,0.0032366567971613977,technical_indicators.csv
